合格者のIDと各成績
examid: 5, Math: 99, English: 65, Physics: 84
examid: 7, Math: 100, English: 64, Physics: 13
examid: 10, Math: 99, English: 95, Physics: 83
examid: 55, Math: 87, English: 97, Physics: 83
examid: 62, Math: 100, English: 34, Physics: 77
examid: 78, Math: 93, English: 94, Physics: 82
examid: 103, Math: 96, English: 80, Physics: 76
examid: 152, Math: 91, English: 89, Physics: 61
examid: 168, Math: 78, English: 90, Physics: 86
examid: 222, Math: 100, English: 56, Physics: 4
examid: 257, Math: 94, English: 61, Physics: 85
examid: 259, Math: 96, English: 54, Physics: 97
examid: 261, Math: 100, English: 32, Physics: 9
examid: 283, Math: 100, English: 68, Physics: 27
examid: 323, Math: 66, English: 98, Physics: 90
examid: 342, Math: 100, English: 28, Physics: 57
examid: 375, Math: 77, English: 99, Physics: 90
examid: 396, Math: 49, English: 94, Physics: 99
examid: 425, Math: 97, English: 65, Physics: 90
examid: 481, Math: 95, English: 74, Physics: 77
examid: 484, Math: 59, English: 97, Physics: 88
examid: 515, Math: 100, English: 33, Physics: 59
examid: 516, Math: 89, English: 93, Physics: 65
examid: 533, Math: 81, English: 74, Physics: 88
examid: 553, Math: 89, English: 96, Physics: 91
examid: 555, Math: 90, English: 97, Physics: 55
examid: 556, Math: 100, English: 46, Physics: 69
examid: 569, Math: 92, English: 92, Physics: 84
examid: 570, Math: 100, English: 30, Physics: 73
examid: 584, Math: 100, English: 19, Physics: 72
examid: 585, Math: 70, English: 100, Physics: 71
examid: 605, Math: 98, English: 94, Physics: 81
examid: 635, Math: 92, English: 97, Physics: 85
examid: 681, Math: 84, English: 99, Physics: 82
examid: 685, Math: 98, English: 78, Physics: 69
examid: 700, Math: 73, English: 98, Physics: 77
examid: 707, Math: 70, English: 85, Physics: 96
examid: 718, Math: 100, English: 66, Physics: 100
examid: 779, Math: 91, English: 90, Physics: 90
examid: 798, Math: 78, English: 73, Physics: 100
examid: 824, Math: 94, English: 76, Physics: 75
examid: 826, Math: 76, English: 95, Physics: 90
examid: 873, Math: 100, English: 5, Physics: 92
examid: 876, Math: 73, English: 81, Physics: 86
examid: 892, Math: 100, English: 99, Physics: 37
examid: 907, Math: 85, English: 71, Physics: 85
examid: 927, Math: 94, English: 93, Physics: 80
examid: 1005, Math: 91, English: 91, Physics: 95
examid: 1058, Math: 88, English: 97, Physics: 88
examid: 1064, Math: 98, English: 97, Physics: 62
examid: 1099, Math: 69, English: 96, Physics: 77
examid: 1129, Math: 75, English: 97, Physics: 71
examid: 1171, Math: 96, English: 94, Physics: 57
examid: 1230, Math: 84, English: 83, Physics: 91
examid: 1256, Math: 68, English: 89, Physics: 89
examid: 1269, Math: 100, English: 12, Physics: 81
examid: 1288, Math: 94, English: 65, Physics: 83
examid: 1295, Math: 95, English: 93, Physics: 56
examid: 1299, Math: 99, English: 95, Physics: 94
examid: 1313, Math: 89, English: 96, Physics: 74
examid: 1317, Math: 85, English: 100, Physics: 69
examid: 1322, Math: 76, English: 94, Physics: 72
examid: 1323, Math: 93, English: 84, Physics: 68
examid: 1324, Math: 84, English: 73, Physics: 89
examid: 1330, Math: 90, English: 83, Physics: 99
examid: 1340, Math: 88, English: 78, Physics: 87
examid: 1348, Math: 56, English: 94, Physics: 100
examid: 1364, Math: 87, English: 93, Physics: 100
examid: 1400, Math: 100, English: 99, Physics: 21
examid: 1442, Math: 93, English: 81, Physics: 76
examid: 1453, Math: 92, English: 72, Physics: 81
examid: 1454, Math: 84, English: 78, Physics: 97
examid: 1457, Math: 94, English: 86, Physics: 70
examid: 1473, Math: 100, English: 59, Physics: 56
examid: 1479, Math: 99, English: 41, Physics: 100
examid: 1558, Math: 88, English: 64, Physics: 91
examid: 1561, Math: 86, English: 81, Physics: 94
examid: 1586, Math: 100, English: 28, Physics: 67
examid: 1591, Math: 81, English: 98, Physics: 64
examid: 1597, Math: 62, English: 92, Physics: 86
examid: 1602, Math: 94, English: 69, Physics: 77
examid: 1606, Math: 88, English: 82, Physics: 75
examid: 1620, Math: 98, English: 100, Physics: 81
examid: 1628, Math: 65, English: 100, Physics: 97
examid: 1636, Math: 76, English: 90, Physics: 77
examid: 1659, Math: 52, English: 98, Physics: 96
examid: 1682, Math: 93, English: 51, Physics: 100
examid: 1697, Math: 68, English: 97, Physics: 91
examid: 1700, Math: 93, English: 67, Physics: 82
examid: 1701, Math: 100, English: 15, Physics: 68
